Gaia source ID,RA,DEC,photometric G-band flux (Flux[e^- s^-1]),Parallax(mas),astrometric wobble [e](mas),wobble signifigance,Companion mass (Msun),Companion mass (Msun)[Temp based],Orbital period(days),DM(pc cm^-3),Mass function,Sky Temperature(K),Orbital Separation,Effective temperature[K]
5388932441668451072,165.55909604364408,-43.39643985,13.215648,0.1115453073659273,0.11694838,16.427622,15.089834991054412,4.7,896.2727865145393,120.4703,12.636326902999231,249.89875183105468,11.30054426405714,16243.2295
5547499026475929472,123.52952562470115,-32.7727489,13.531306,0.12820725041343056,0.14600663,19.556293,14.03020822,4.7,940.3889943961304,323.4345,11.599753911603822,316.0454040527344,11.412901562286377,16257.539
2923980096934515968,96.87641735579167,-25.71743635,13.709927,0.10916490569256104,0.121292315,12.128843,15.438104513995146,4.7,1001.3294673823802,79.4912,12.977634197049317,232.38105163574218,12.25225938,16340.413
2934748237084371584,107.7612016072776,-17.58930152,12.280365,0.11258352912536589,0.12376181,27.54721,14.698653405514099,4.7,936.2600881523247,175.1237,12.253313563560532,362.5702148,11.541474800097843,16380.524
3028458543665099264,112.10355405976891,-15.50165496,9.489245,0.097064021,0.11840049,17.54001,14.86253355,5.1,1107.1214672410417,205.7897,12.413725356207987,389.9005065917969,12.949709730862914,16508.283
5610203899726620416,107.56233557193212,-26.93406866,13.001814,0.099596306,0.13788596,24.119223,16.02430647,5.1,1447.816780849402,134.7465,13.552728085687908,309.3544555664063,15.846305403736437,16522.12
4135303780877021312,260.2827438694997,-16.64107843,12.068925,0.098484994,0.13809574,27.546501,15.78793159937269,5.1,1453.1105111198658,200.6865,13.320743786037951,768.3011108398438,15.812750522298456,16572.771
5415649131116838016,155.45000836641825,-44.55608962,12.807164,0.12540440951549175,0.2165295,66.95766,13.987011112237933,5.1,1749.9430479341954,155.3355,11.557561814301792,291.1047607421875,17.25047863906018,16600.982
5599359072947350272,114.84714326061054,-29.63093177,11.983056,0.10587345174652738,0.10111738,18.415852,15.11773260361874,5.1,780.7646604815519,238.919,12.663656323377987,349.0568786621094,10.313293081781515,16670.354
4098496559669227264,281.8347337938365,-18.26294607,11.900565,0.099087593,0.1170197,12.55619,15.66997321,5.4,1114.4299753739942,272.4948,13.205020592452623,993.2828613,13.218431370286163,17194.355
5547492601205281920,123.37621188159957,-32.89191446,12.881482,0.12490074451141946,0.113804124,14.797979,14.042408788919523,5.4,673.5992966537146,332.3595,11.611671615233208,314.28167114257815,9.139165647800656,17322.85
4075203371470978048,284.0624911826582,-24.32377048,12.7169895,0.11801426817700389,0.16965355,21.64977,14.451784237323368,5.4,1375.602792656543,178.6746,12.011800269112925,635.6823974609375,14.839588815158114,17341.137
5600799673698131072,119.72610272778114,-28.35227787,14.236229,0.1313274244727793,0.13859022,11.171837,14.041007734106808,5.4,839.5230091,273.9814,11.61030302,313.01018676757815,10.583940748006995,17523.154
5614376340204660480,116.29829570434305,-25.42977143,13.814314,0.096301232,0.11349651,11.141252,16.62073184196052,5.4,1181.1968148436954,230.5962,14.138573036456737,429.5331970214844,13.99177363229849,17543.754
5600106465973040000,115.21101820069492,-28.29740295,14.448953,0.10936223407011894,0.15240379,11.477876,15.655265138948087,5.4,1427.1225361908264,226.3533,13.190593333517855,364.1487060546875,15.583348577566827,17674.023
5598900233002600064,115.9297154308512,-30.05490816,13.642869,0.12453000143734551,0.13808964,15.105844,14.298978883646964,5.4,921.6367025213839,252.2807,11.862391791206758,336.9741149902344,11.325674958529442,17948.861
4115471168093129088,256.4453625633219,-22.25929392,14.292042,0.12736125360582057,0.23359948,19.521173,14.305206855571324,5.4,1961.4555603831827,193.915,11.868480063460344,975.8112426757813,18.74134058012611,17992.467
5547108253176010368,124.2710796539212,-32.85832912,12.578935,0.1166066652722744,0.1658966,39.59483,14.505905808433148,5.4,1359.6167669185434,336.7157,12.064733877091257,318.15862426757815,14.741135128573505,18030.318
3028360244759075712,113.10983663802607,-15.52673504,11.672513,0.10915302354814843,0.12686728,22.93092,14.745445944657012,5.4,1021.2684205552337,197.1695,12.299108827310208,379.9586426,12.241756432364856,18355.443
